Transaction ID	Type	Posting	Currency	Item Name	Debit Amount	Debit Account	Credit Amount	Credit Account
148677	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	12549.17	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
148880	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	12512.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
148880	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	12512.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149151	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	12485.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149151	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	12485.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149398	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6875.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149398	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6875.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149399	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6250.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149399	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6250.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149659	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6766.67	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149659	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6766.67	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149660	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	7489.17	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149660	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	7489.17	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149721	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	1347.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149721	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	1347.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
149722	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	1458.33	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
149722	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	1458.33	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
151440	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	26966.67	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
151440	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	26966.67	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
151937	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	10958.33	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
151937	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	10958.33	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
152172	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	12650.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
152172	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	12650.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
153678	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6525.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
153678	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6525.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
153897	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6483.33	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
153897	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6483.33	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
154100	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6591.67	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
154100	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6591.67	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
12802	invoice	true	Unknown	Unknown	380516.25	85100 TOTAL RECEIVABLES : Receivables from sales	0.00	N/A
12802	invoice	true	Unknown	1854-A03	0.00	N/A	205350.00	10100 TOTAL SALES : Project Sales
12802	invoice	true	Unknown	DUMMY-sales1	0.00	N/A	39210.00	10000 TOTAL SALES
12802	invoice	true	Unknown	DUMMY-sales1	0.00	N/A	20488.00	10000 TOTAL SALES
12802	invoice	true	Unknown	3234-Kabelbakker	0.00	N/A	7820.00	10100 TOTAL SALES : Project Sales
12802	invoice	true	Unknown	DUMMY-sales1	0.00	N/A	31545.00	10000 TOTAL SALES
12802	invoice	true	Unknown	UD-DK	0.00	N/A	76103.25	95200 TOTAL VAT & TAX ETC. : Outgoing VAT (DK)
PAYMENT1388	customerpayment	true	Unknown	Unknown	1076431.25	89300 Oestergaard A/S Nykredit Erhverv DK8954710002108307	0.00	N/A
PAYMENT1388	customerpayment	true	Unknown	Unknown	0.00	N/A	1076431.25	85100 TOTAL RECEIVABLES : Receivables from sales
165584	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	2191.67	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
165584	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	2191.67	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
165689	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	6725.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
165689	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	6725.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
118997	workorderissue	true	Unknown	HOTEL/DK	0.00	N/A	1871.61	83100 TOTAL INVENTORIES : Inventory increase
118997	workorderissue	true	Unknown	HOTEL/DK	1871.61	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
175559	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	320.83	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
175559	workordercompletion	true	Unknown	Man Hour Cost DK Montage Ude	320.83	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
185069	workordercompletion	true	Unknown	3234-Kabelbakker	110954.95	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
185069	workordercompletion	true	Unknown	3234-Kabelbakker	0.00	N/A	110954.95	83250 TOTAL INVENTORIES : Products being manufactured
79269	workorderclose	true	Unknown	3234-Kabelbakker	110954.95	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
79269	workorderclose	true	Unknown	HOTEL/DK	0.00	N/A	1871.61	83250 TOTAL INVENTORIES : Products being manufactured
79269	workorderclose	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	109083.34	83250 TOTAL INVENTORIES : Products being manufactured
199701	workordercompletion	true	Unknown	3234-MO	141311.67	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
199701	workordercompletion	true	Unknown	3234-MO	0.00	N/A	141311.67	83250 TOTAL INVENTORIES : Products being manufactured
84473	workorderclose	true	Unknown	3234-MO	141311.67	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
84473	workorderclose	true	Unknown	HOTEL/DK	0.00	N/A	10820.00	83250 TOTAL INVENTORIES : Products being manufactured
84473	workorderclose	true	Unknown	Man Hour Cost DK Montage Ude	0.00	N/A	130491.67	83250 TOTAL INVENTORIES : Products being manufactured
13761	invoice	true	Unknown	No items
DN6941	itemfulfillment	true	Unknown	VAR00388	6100.00	20500 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Consumption of finished goods	0.00	N/A
DN6941	itemfulfillment	true	Unknown	VAR00388	0.00	N/A	6100.00	83100 TOTAL INVENTORIES : Inventory increase
DN6941	itemfulfillment	true	Unknown	3234-MO	141311.67	20500 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Consumption of finished goods	0.00	N/A
DN6941	itemfulfillment	true	Unknown	3234-MO	0.00	N/A	141311.67	83100 TOTAL INVENTORIES : Inventory increase
DN6941	itemfulfillment	true	Unknown	3234-Kabelbakker	110954.95	20500 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Consumption of finished goods	0.00	N/A
DN6941	itemfulfillment	true	Unknown	3234-Kabelbakker	0.00	N/A	110954.95	83100 TOTAL INVENTORIES : Inventory increase
DN7271	itemfulfillment	true	Unknown	VAR00394	1459.18	20500 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Consumption of finished goods	0.00	N/A
DN7271	itemfulfillment	true	Unknown	VAR00394	0.00	N/A	1459.18	83100 TOTAL INVENTORIES : Inventory increase
